167,4Seven
162,5*
164,5* +1
160,5 USA
161,5 USA +1
90,BBC News
733,BBC News HD
103,BBC One HD
42,BBC One London
81,BBC One South East
87,BBC One South
55,BBC Parliament
49,BBC Red Button 1
43,BBC Two
102,BBC Two HD
86,CBBC
106,CBBC HD
120,BBC Four / CBeebies
291,BBC Four HD / CBeebies HD
571,CBS Action
613,CBS Drama
590,CBS Reality
777,CBS Reality +1
652,Challenge
656,Challenge +1
0,Channel 4
12,Channel 4 +1
166,Channel 4 HD
156,Channel 5
165,Channel 5 +1
163,Channel 5 +24
275,Channel 5 HD
33,CITV
11,E4
10,E4 +1
6,Film4
7,Film4 +1
186,FilmOn.TV
779,Horror +1
617,Horror
274,ITV
40,ITV +1
32,ITV2
137,ITV2 +1
146,ITV3
147,ITV3 +1
34,ITV4
119,ITV4 +1
35,ITVBe
131,ITVBe +1
36,ITVi Stream
557,Kix
558,Kix +1
18,More4
8,More4 +1
472,Pick
548,POP
555,POP +1
723,Spike
550,Tiny Pop
556,Tiny Pop +1
789,True Crime
771,True Crime +1
560,True Drama
559,True Entertainment
547,True Movies 1
549,True Movies 2
